canon,0.0041135,100
canon_internal,0.007096,100
canon_external,0.0019212,100
canon,0.0533195,250
canon_internal,0.01329,250
canon_external,0.0153651,250
canon,0.661067,500
canon_internal,0.406594,500
canon_external,0.109188,500
canon,4.04933,1000
canon_internal,0.737113,1000
canon_external,0.670354,1000
canon,10.282,1024
canon_internal,2.08368,1024
canon_external,1.82172,1024
canon,16.8508,1500
canon_internal,3.02739,1500
canon_external,2.3722,1500
canon,32.1949,1750
canon_internal,6.70571,1750
canon_external,4.42836,1750
canon,32.3448,2000
canon_internal,7.28355,2000
canon_external,5.96229,2000
canon,150.155,2048
canon_internal,39.7155,2048
canon_external,32.9423,2048
canon,67.2523,2250
canon_internal,13.5374,2250
canon_external,10.9532,2250
